file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
wirycurioitem,.lang,items\lang\german\wirycurioitem.lang,Wiry Curio,Drahtige Kuriosität,die,eine,diese,Ein verlockendes langes Stück eines zwirnartigen Materials.
wolfspideritem,.lang,items\lang\german\wolfspideritem.lang,Wolf Spider,Wolfsspinne,die,eine,diese,"Eine beängstigende Kreatur mit einem speziellen Gift, das deine Bewegungen verlangsamen kann."
woodencurioitem,.lang,items\lang\german\woodencurioitem.lang,Wooden Curio,Hölzerne Kuriosität,die,eine,diese,"Ein flacher Holzstab, an einem Ende leicht gebeizt."
woolycurioitem,.lang,items\lang\german\woolycurioitem.lang,Wooly Curio,Wollige Kuriosität,die,eine,diese,Ein sehr weicher Beutel aus Stoff.
wovenrugfurnitureitem,.lang,items\lang\german\wovenrugfurnitureitem.lang,Woven Rug Furniture,Gewebter Teppich,der,ein,dieser,"Irgendeine Katze hat viel Zeit damit verbracht, das dicke Material sorgfältig zu weben, um diesen kleinen Teppich herzustellen!"
wrenitem,.lang,items\lang\german\wrenitem.lang,Wren,Zaunkönig,der,ein,dieser,Ein kleiner brauner Vogel.
wretchedtalismanitem,.lang,items\lang\german\wretchedtalismanitem.lang,Wretched Talisman,Elendiger Talisman,der,ein,dieser,"Ein verfluchtes Amulett, das vom Nichts flüstert. Benutze es, um eine Invasionsarmee von Schattenkatzen zu beschwören. Wenn du sie alle besiegst, wirst du belohnt."
wretchedtalismanrecipeitem,.lang,items\lang\german\wretchedtalismanrecipeitem.lang,Wretched Talisman Recipe,Rezept für den elendigen Talisman,das,ein,dieses,"Ein verfluchtes Amulett, das vom Nichts flüstert. Benutze es, um eine Invasionsarmee von Schattenkatzen zu beschwören. Wenn du sie alle besiegst, wirst du belohnt."
yellowfireflyitem,.lang,items\lang\german\yellowfireflyitem.lang,Yellow Firefly,Gelbes Glühwürmchen,das,ein,dieses,"Ein heller Sommerkäfer, der gelbes Licht ausstrahlt."
yellowladybugitem,.lang,items\lang\german\yellowladybugitem.lang,Yellow Ladybug,Gelber Marienkäfer,der,ein,dieser,Ein auffälliger kleiner Käfer mit schwarzen Punkten.
